dom1     dom2     J_plm               known_interaction
PF01385  PF12323  1.4257718843670533  1
PF07394  PF08811  1.4189293561565401  0
PF03633  PF03636  1.417126617350652   1
PF01262  PF05222  1.4072688809529252  1
PF06165  PF17167  1.4072445725996705  1
PF13549  PF13607  1.3971883728703212  1
PF02836  PF02837  1.3969841852517564  1
PF01526  PF13700  1.392974029760536   1
PF05598  PF13751  1.385405229714825   1
PF00732  PF05199  1.3793351718918316  1
PF01970  PF07331  1.3763332115938771  1
PF12034  PF12450  1.3648810295430083  1
PF02129  PF08530  1.3639587329571972  1
PF01717  PF08267  1.3628832609722408  1
PF03445  PF10335  1.3625934460015596  1
PF00479  PF02781  1.3618245357018455  1
PF03894  PF09363  1.3580749476912137  1
PF09363  PF09364  1.349812187015596   1
PF03480  PF06808  1.3444741737736612  1
PF02233  PF12769  1.344122859695263   0
PF09359  PF16316  1.34153148550405    0
PF02056  PF11975  1.3338969633336677  1
PF08348  PF13309  1.3280425695290763  1
PF02538  PF05378  1.3278522724178674  1
PF01769  PF03448  1.3275322449690456  1
PF02806  PF02922  1.3275122756791302  1
PF08659  PF16197  1.327506835039852   1
PF01614  PF09339  1.326407646971696   1
PF07282  PF12323  1.3260368944566783  1
PF01074  PF09261  1.3251999436340594  1
PF00394  PF07731  1.3156870528501101  1
PF13542  PF14690  1.3139594446055538  1
PF00251  PF08244  1.311964446261237   1
PF02665  PF14711  1.3090392186140063  0
PF04168  PF14403  1.308285334514284   1
PF00195  PF02797  1.3066283159963679  1
PF01431  PF05649  1.2988860423760884  1
PF02503  PF13089  1.2967999566741788  1
PF03831  PF08274  1.2960456282000603  1
PF01882  PF07726  1.2938561709420837  1
PF06742  PF06863  1.292313323934099   1
PF01074  PF07748  1.287035507124736   1
PF03401  PF07331  1.2851381884878739  0
PF00370  PF02782  1.2814645342570594  1
PF07940  PF16889  1.278039638834613   1
PF02626  PF03746  1.2775747963549147  1
PF01970  PF03401  1.2722171584558075  0
PF07836  PF09290  1.2721471968330986  1
PF02682  PF03746  1.269022598788451   1
PF02503  PF13090  1.2672669969779096  1
PF13089  PF13090  1.265787917790953   1
PF01610  PF13542  1.2580807578867457  1
PF05838  PF09374  1.2568246842399153  1
PF00703  PF02837  1.2561881082469357  1
PF00081  PF02777  1.2561512325013475  1
PF04168  PF08379  1.2545618581007663  0
PF00891  PF16864  1.25445960098405    1
PF00728  PF02838  1.2521294321896692  1
PF04865  PF04984  1.2480058591666878  0
PF00455  PF08220  1.2461820877942964  1
PF07927  PF15919  1.2397350088511714  1
PF00725  PF02737  1.2356111232708198  1
PF00108  PF02803  1.2303045227299492  1
PF03841  PF09107  1.2289014883741243  0
PF02746  PF13378  1.226335614881738   1
PF09423  PF16655  1.2235959723747967  1
PF01527  PF13276  1.2228369340821565  1
PF00941  PF03450  1.2185580376128913  1
PF05161  PF13660  1.2182545981277997  1
PF08659  PF14765  1.2181219787132282  1
PF14863  PF14864  1.2173968498474594  1
PF07748  PF09261  1.2147446525516434  1
PF01899  PF03334  1.211482003625449   1
PF02610  PF11762  1.210195649406948   1
PF00394  PF07732  1.2092755414417917  1
PF02669  PF02702  1.2079033895678055  0
PF00360  PF08446  1.2075906450399214  1
PF02733  PF02734  1.2072163194817027  1
PF00358  PF00367  1.2005447151785928  1
PF00703  PF02836  1.1948281442145365  1
PF02702  PF03814  1.191850341595589   0
PF00547  PF00699  1.189665140671134   1
PF02625  PF13478  1.188977601313563   1
PF01968  PF02538  1.1877129715148378  1
PF02424  PF04205  1.1864365824881995  1
PF04986  PF14319  1.1847422389662432  1
PF01325  PF02742  1.183752614081752   1
PF08497  PF11842  1.181227065137422   1
PF05114  PF09836  1.1809375499023331  1
PF05107  PF09709  1.1768232441769568  0
PF02384  PF12161  1.1734164664368014  1
PF00936  PF03319  1.1709216615267741  0
PF13555  PF13835  1.1696589644855693  0
PF01899  PF04039  1.1676285138467029  1
PF03334  PF13244  1.1664062566991988  1
PF08379  PF14403  1.1651760290065631  0
PF05138  PF06243  1.1648161755486381  0
PF00207  PF01835  1.1644530113980236  1
PF03334  PF04039  1.1634663931395037  0
PF00268  PF00317  1.1632467915742875  1
PF03050  PF13005  1.1616444097309362  1
PF01420  PF02384  1.159826979244623   1
PF01730  PF01774  1.1596195210959221  1
PF03432  PF05713  1.1586798005865209  0
PF08808  PF09722  1.1584318208204036  0
PF05973  PF13744  1.1579179729839002  0
PF09925  PF14345  1.156963997621006   1
PF00668  PF00975  1.1567626312657457  1
PF16188  PF16189  1.1566531080416933  1
PF04860  PF05065  1.1559657923788622  0
PF00982  PF02358  1.1539328790408596  1
PF00449  PF00547  1.1522317541120044  1
PF01899  PF13244  1.1493946869687797  1
PF04183  PF06276  1.1484631376119416  1
PF00766  PF01012  1.1473222351964665  1
PF02449  PF08532  1.1448850313032246  1
PF00145  PF03852  1.1424363052504682  0
PF01799  PF02738  1.1401902376103916  1
PF06202  PF14742  1.1363712175992533  1
PF09382  PF16124  1.135195911628288   1
PF16874  PF16875  1.1315647166278398  1
PF00376  PF09278  1.1224937603579919  1
PF05136  PF05876  1.1212570492447789  0
PF00950  PF01297  1.1211482413139917  1
PF02814  PF05194  1.1143177306075693  1
PF00984  PF03721  1.1142071735457062  1
PF06832  PF11974  1.1128143248576077  0
PF01032  PF01497  1.1123948289127732  1
PF04066  PF13244  1.1121558293559164  1
PF04039  PF04066  1.1117355230219415  0
PF02929  PF16353  1.1114159113810134  1
PF06149  PF06166  1.1101305198845541  0
PF01642  PF03308  1.1079301087047853  1
PF00207  PF07703  1.105713506391255   1
PF00449  PF00699  1.1041951258047926  1
PF02055  PF17189  1.100676259433065   1
PF02283  PF02654  1.095900901960004   0
PF07171  PF07364  1.0943029037759544  1
PF03288  PF08706  1.0927068488491076  1
PF01899  PF04066  1.091316359780889   1
PF00239  PF07508  1.0856230211916478  1
PF07143  PF17186  1.0813339142625216  1
PF14399  PF16169  1.0796927055537289  1
PF02678  PF05726  1.0772996778241932  1
PF02065  PF16875  1.072499486985756   1
PF03180  PF09383  1.0723454573881952  0
PF00665  PF13276  1.0710950130358285  1
PF05717  PF13007  1.067826842663133   0
PF01384  PF01865  1.0642143097542573  0
PF10387  PF13711  1.0622566562481548  1
PF01068  PF04679  1.0596590462529507  1
PF13340  PF13586  1.0590605055532398  1
PF04954  PF08021  1.0590159185235626  1
PF01558  PF01855  1.0578748095432586  1
PF00670  PF05221  1.0565295379104056  1
PF01455  PF01924  1.0540135735416722  1
PF04443  PF05893  1.0499110631614381  1
PF03334  PF04066  1.048306671178786   0
PF04397  PF06580  1.0456253913522724  0
PF00547  PF01774  1.039944546934747   1
PF00016  PF02788  1.0332028336257248  1
PF01835  PF07703  1.0313719576633127  1
PF13005  PF13007  1.0310138333474081  1
PF03275  PF13450  1.0305572469189341  1
PF03050  PF13817  1.0302130435462065  1
PF14765  PF16197  1.029812266857632   1
PF01564  PF02675  1.0286709897362947  1
PF01924  PF07503  1.0283198210487028  0
PF01729  PF02749  1.027870192975947   1
PF01930  PF09827  1.0277237406105666  0
PF00984  PF03720  1.0239721481075112  1
PF00142  PF00148  1.0221415072498772  1
PF00359  PF02302  1.020922818743477   1
PF07848  PF08223  1.0205801466766375  1
PF07336  PF11706  1.0175912438355568  1
PF05621  PF06527  1.0167817930225092  0
PF11188  PF13443  1.0166882187105386  0
PF02348  PF03102  1.0164649628438642  1
PF01855  PF17147  1.01581544057697    1
PF04422  PF04432  1.011538731262486   1
PF00374  PF01455  1.009916066269526   1
PF00547  PF01730  1.0095984392475152  0
PF01077  PF03460  1.0085432218506352  1
PF00699  PF01774  1.0082134743562543  1
PF03720  PF03721  1.0073987962127806  1
PF00449  PF01774  1.0070661117305932  0
PF00759  PF02927  1.0067894408020814  1
PF00545  PF01337  1.0066902528708623  1
PF09107  PF12390  1.0053768894409525  0
PF01867  PF09704  1.0038059321593937  0
PF01750  PF14720  1.0028589070961507  1
PF05861  PF06007  1.0014239985321993  0
PF01964  PF13667  1.0014170874974002  1
PF04234  PF05425  1.000472256243436   1
PF07055  PF12242  0.9989160683419778  1
PF07055  PF12241  0.9959956831810354  1
PF12241  PF12242  0.9959956831786584  1
PF04471  PF14338  0.9959008415030852  1
PF03977  PF04277  0.9957499206083176  0
PF05861  PF06754  0.9943189546889741  1
PF06007  PF06754  0.994318954688707   1
PF02744  PF10509  0.9930659574416718  0
PF00381  PF05524  0.9929773496979346  1
PF03102  PF08666  0.9918693780166161  1
PF06434  PF11791  0.991346898529924   1
PF08798  PF09344  0.990596803936487   0
PF00374  PF01924  0.9885695392556162  1
PF01455  PF07503  0.988365100366303   1
PF05860  PF08479  0.9873725197315453  1
PF01174  PF01680  0.986149318736575   0
PF04023  PF07664  0.9838438984693774  1
PF01930  PF05107  0.9827491435856552  0
PF00449  PF01730  0.9805586872614762  0
PF13538  PF13604  0.9801085395305713  1
PF01936  PF12872  0.9795344655518721  1
PF10588  PF13510  0.9780995532069269  1
PF00699  PF01730  0.978065653770247   0
PF00941  PF01315  0.9766591309483306  1
PF00463  PF01274  0.9753871780642752  1
PF11459  PF17194  0.974946003969251   1
PF01943  PF14667  0.9738841469160023  1
PF05845  PF05861  0.9727181435338121  0
PF05845  PF06007  0.9727181435335617  0
PF09344  PF09481  0.9709305249481894  0
PF02277  PF02654  0.9706339482540717  0
PF05717  PF13005  0.9688537928069336  0
PF03965  PF05569  0.9686596484952728  0
PF03050  PF05717  0.9668910453671553  1
PF04586  PF05065  0.9667491189751588  1
PF05845  PF06754  0.966573841741708   1
PF10593  PF14390  0.9634605999176058  0
PF05717  PF13817  0.9613569603967171  1
PF01055  PF17137  0.9612070618173537  1
PF06841  PF14065  0.9601837058491525  0
PF16338  PF17137  0.9598377305589637  1
PF03050  PF13007  0.959754047636024   1
PF13689  PF17152  0.9567365182845976  0
PF01874  PF06857  0.9556905027513348  0
PF00258  PF00667  0.9554452520302729  1
PF05048  PF05573  0.9525076826971408  0
PF02421  PF04023  0.9518368489362928  1
PF13598  PF13600  0.9513577865295699  1
PF07703  PF11974  0.9507546504621882  1
PF12320  PF13558  0.9487655902932399  0
PF04313  PF11867  0.9463836782569695  1
PF09344  PF09485  0.9456628505011624  0
PF01747  PF14306  0.9446588742096353  1
PF02625  PF02738  0.9429848902168497  1
PF01087  PF10509  0.9364448053749094  0
PF02613  PF14711  0.935446417431849   1
PF00441  PF02770  0.9351786072458225  1
PF05107  PF09704  0.9348920502510685  1
PF02091  PF02092  0.933494117434867   1
PF01155  PF01455  0.9322969594892014  0
PF04465  PF06634  0.9311059404200717  0
PF08798  PF09481  0.9306288649339258  0
PF01799  PF02625  0.9303217974087687  0
PF10588  PF10589  0.9300667662876398  1
PF02806  PF08323  0.9257353925776362  1
PF06792  PF09370  0.9254559634739175  0
PF13007  PF13817  0.9251733210676323  1
PF07972  PF08343  0.9239963996896889  1
PF03841  PF12390  0.9223568829252619  1
PF02065  PF16874  0.921095210118624   1
PF01315  PF02738  0.9196361332643075  1
PF11380  PF17101  0.9195820133174938  1
PF01890  PF11760  0.9194167719339379  1
PF01155  PF01924  0.9193109320689731  0
PF07664  PF07670  0.9180856419209608  1
PF01799  PF13478  0.9175614151990428  0
PF03354  PF05119  0.9169091085980577  1
PF00374  PF01155  0.914296772799602   1
PF10727  PF10728  0.9126688017970643  1
PF00374  PF07503  0.9114335227458478  0
PF02613  PF02665  0.9108822173309907  1
PF09489  PF09490  0.9108222375854406  0
PF02277  PF02283  0.9101364159605418  1
PF00186  PF00303  0.909689938392197   1
PF14231  PF14232  0.9094530732896187  1
PF12760  PF12762  0.9087889803351472  1
PF08798  PF09485  0.9087751007425033  0
PF02738  PF13478  0.908698997679246   1
PF01078  PF13335  0.9075769472263606  1
PF01455  PF01750  0.9066636820540094  1
PF01835  PF11974  0.9064066933940358  1
PF09106  PF09107  0.9044479387998107  1
PF01796  PF12172  0.9036274738254897  1
PF00441  PF02771  0.9015779580012677  1
PF01609  PF05598  0.9013364477356862  1
PF07228  PF13581  0.9007854959907262  1
PF14710  PF14711  0.8993367123512155  1
PF01315  PF03450  0.8991440243139314  1
PF01739  PF03705  0.8990695637983486  1
PF00817  PF11799  0.8988081441929616  1
PF06832  PF07703  0.8986255537851304  0
PF01890  PF02570  0.894919849172746   0
PF03354  PF05065  0.8943631629632403  0
PF00069  PF13672  0.8942363459159046  1
PF02384  PF04313  0.8920610528185973  1
PF01314  PF02730  0.8915229940563907  1
PF01339  PF01739  0.8906866300126852  1
PF13527  PF13530  0.8902017502375693  1
PF03354  PF04860  0.8888753735165033  0
PF05592  PF08531  0.8880448913507137  1
PF13243  PF13249  0.8874394805192362  1
PF03100  PF16327  0.8862654913883666  1
PF03775  PF03776  0.8860459197597441  0
PF09481  PF09485  0.8859336101496877  1
PF02374  PF06953  0.884032123069316   1
PF03379  PF16327  0.8831069121507318  0
PF03100  PF03379  0.8824886600121892  0
PF02719  PF13727  0.8805694035298688  1
PF01315  PF01799  0.8795289506341121  1
PF08388  PF13655  0.8770624457533603  1
PF01750  PF01924  0.872054422146227   0
PF10005  PF15887  0.8718410286057552  1
PF06798  PF08298  0.8713499192404157  1
PF07695  PF07696  0.8687574588082828  1
PF04865  PF09684  0.8681813135084324  1
PF00374  PF01750  0.8675106862752835  1
PF04552  PF04963  0.8667363759020377  1
PF02922  PF08323  0.865895891352017   1
PF13086  PF13195  0.8608254082768467  1
PF13005  PF13817  0.8598638860439788  1
PF00107  PF08240  0.8582700761127579  1
PF07697  PF07698  0.8572591598633679  1
PF05621  PF09299  0.8570706911882711  1
PF01813  PF16886  0.8567483670678397  1
PF12399  PF13458  0.8563008959286833  0
PF00207  PF11974  0.8562213979680943  1
PF02498  PF03374  0.8557503194453644  1
PF01149  PF06831  0.8555321765764695  1
PF03755  PF08340  0.855366264129599   1
PF03613  PF03830  0.8524786504879359  1
PF01774  PF05194  0.8523477604712859  0
PF04313  PF12008  0.8521749055471607  1
PF00356  PF13377  0.851564529679985   1
PF00345  PF00577  0.8504083709250148  1
PF01205  PF09186  0.850194592568171   1
PF01155  PF07503  0.8500698190507999  0
PF00367  PF02378  0.8498309321439751  1
PF09704  PF09709  0.8495256917302723  0
PF03562  PF06725  0.8494194630008294  1
PF04285  PF06798  0.8480631696406082  0
PF13629  PF16976  0.8480483760589582  0
PF11997  PF16933  0.8480209403487078  0
PF01155  PF01750  0.8469512119793705  0
PF04285  PF08298  0.846793889319991   0
PF00576  PF09349  0.8447762571845749  1
PF01867  PF01930  0.8446667008167469  1
PF01676  PF06415  0.8432574960407794  1
PF13358  PF13592  0.8428353536209761  1
PF02421  PF07670  0.8417256361874672  1
PF00343  PF02922  0.8404571912468871  0
PF01558  PF17147  0.8395257980167395  1
PF04293  PF06798  0.8383620548380315  0
PF00343  PF08323  0.8378074864886199  1
PF01730  PF05194  0.8375825999385538  1
PF06202  PF12439  0.8375368897697227  1
PF02770  PF02771  0.8375290762001257  1
PF04293  PF08298  0.8365216052004119  0
PF00883  PF02789  0.8352044462022101  1
PF04285  PF04293  0.8335332158504183  0
PF01930  PF09704  0.8328960575110942  0
PF06527  PF09299  0.8317341767648321  0
PF08487  PF13768  0.8315968344607472  1
PF02706  PF13807  0.8308661198024134  1
PF00310  PF04898  0.8300420654428162  1
PF00499  PF00507  0.8297382401101493  0
PF03609  PF03830  0.827887741207848   1
PF02616  PF04079  0.8275783446440104  1
PF02492  PF07683  0.8263206908699899  1
PF00393  PF00479  0.824041660028787   0
PF00393  PF02781  0.8240416331569035  0
PF02665  PF14710  0.8228330646691344  1
PF06165  PF10091  0.82202601225305    1
PF01835  PF06832  0.821789250371997   0
PF04586  PF04860  0.8211835189421856  0
PF08798  PF09707  0.8203376284652665  0
PF00343  PF02806  0.8203121493756858  0
PF01257  PF10589  0.820010001458422   1
PF01774  PF02814  0.8194996638230255  0
PF07811  PF16976  0.8185051629433198  0
PF09344  PF09707  0.8170658255045965  0
PF13208  PF15615  0.8168046605725363  1
PF01944  PF14258  0.8156176463000054  0
PF05147  PF13575  0.8138206957665727  1
PF08463  PF12161  0.8123905398611402  1
PF01154  PF08540  0.8117160743963325  1
PF00329  PF00346  0.8108167968495696  1
PF10091  PF17167  0.809669613352042   1
PF08331  PF13484  0.80943331364112    1
PF01730  PF02814  0.8082246188209083  1
PF02508  PF03116  0.8078839329451478  0
PF00146  PF00346  0.8060255087437991  1
PF13434  PF13523  0.8049888500583133  1
PF00547  PF05194  0.8044318889816868  0
PF00239  PF02796  0.8037363043077982  1
PF01750  PF07503  0.8036391825124762  1
PF01256  PF03853  0.8019103727251873  1
PF07811  PF13629  0.8004248913505281  0
PF00207  PF06832  0.8000426128192382  0
PF01583  PF13469  0.7997827760285687  0
PF03609  PF03613  0.7995274407674825  1
PF01339  PF03705  0.7986107671104803  1
PF13380  PF13549  0.798473845609101   1
PF02604  PF06769  0.7968299827314518  1
PF02603  PF07475  0.7939818601080266  1
PF01408  PF02894  0.792407601657884   1
PF03524  PF04335  0.7923673616376055  1
PF04267  PF04268  0.7923311890466824  0
PF08757  PF09359  0.7919203193693332  0
PF03972  PF13714  0.7906161508274978  1
PF01888  PF02570  0.7891232263818283  0
PF02614  PF03786  0.7888650880389895  0
PF09344  PF09704  0.7875582841188948  0
PF02607  PF02965  0.7875565221884675  1
PF02570  PF02571  0.7873405304826828  0
PF02278  PF08124  0.7873319785223991  1
PF01888  PF11760  0.7868609412402646  0
PF04016  PF13938  0.7868039517699973  1
PF01927  PF14451  0.786379222744972   1
PF00941  PF01799  0.786215787555623   1
PF10923  PF15615  0.7850044477073094  0
PF07811  PF13400  0.7848322474637088  0
PF00146  PF00329  0.7845597342334482  1
PF11738  PF13739  0.7832451795213667  1
PF04965  PF05954  0.7820446356671277  0
PF09700  PF12469  0.781580159930625   1
PF00198  PF00676  0.7815525467413276  1
PF00699  PF05194  0.7811798362188782  0
PF11784  PF13195  0.7811136868103177  1
PF00449  PF05194  0.781065702811832   0
PF00941  PF02738  0.7809620968349291  1
PF14528  PF14890  0.7805921084696896  1
PF01909  PF01934  0.778936198943782   1
PF00733  PF13537  0.7767025303208689  1
PF00032  PF00033  0.7764993198414362  1
PF08747  PF13337  0.7762686276659541  0
PF02601  PF13742  0.7755008239654948  1
PF03892  PF03927  0.7745588826574663  0
PF06527  PF08722  0.7737322676561366  0
PF01930  PF09709  0.7730459132053945  0
PF09983  PF11795  0.7721364493944165  1
PF02604  PF05016  0.7718564714281639  1
PF00310  PF01493  0.771202790576463   1
PF01179  PF02728  0.77115224762867    1
PF05643  PF16068  0.7711232854653727  0
PF05135  PF05521  0.770948219204143   0
PF14716  PF14791  0.7680851927647624  1
PF03239  PF13473  0.7680428888363333  1
PF02211  PF02979  0.7675024148557605  1
PF01455  PF14720  0.7673815344840604  1
PF01155  PF14720  0.7672658830596458  0
PF08757  PF16316  0.7672521311727987  0
PF06966  PF07103  0.7668733785483111  0
PF14689  PF17203  0.7663875429744239  1
PF00547  PF02814  0.7661868167964366  0
PF08798  PF09704  0.7659697326212396  0
PF03135  PF04335  0.765003963494775   0
PF04221  PF15738  0.7632576413906693  1
PF07881  PF07882  0.762130218252234   1
PF04328  PF13722  0.7613573579634586  0
PF02554  PF04328  0.7613573494961005  0
PF00358  PF02378  0.7592125030796284  1
PF07669  PF12950  0.7586302398354285  1
PF01315  PF02625  0.7582461357074319  1
PF00699  PF02814  0.7573657403957922  0
PF00805  PF13599  0.7563855715142125  1
PF01888  PF01890  0.7561739672994983  0
PF04411  PF09823  0.7552066004143896  1
PF02570  PF11760  0.7546047205161007  0
PF07521  PF10996  0.7541966542876997  1
PF01729  PF02445  0.753537327055716   0
PF02924  PF03864  0.7526318089880155  0
PF07477  PF07488  0.7517024121929786  1
PF08463  PF13643  0.7509809776234976  1
PF00309  PF04552  0.7495718564605957  1
PF09299  PF13401  0.7493942417744783  1
PF10081  PF15420  0.7484122007424163  1
PF04335  PF04610  0.7480135539459577  0
PF01316  PF02863  0.7473374232261067  1
PF11855  PF13835  0.7471243666987187  0
PF03007  PF06974  0.7470176641035163  1
PF02278  PF02884  0.7456807467351249  1
PF04365  PF14384  0.7449477679781635  0
PF00449  PF02814  0.7449420967688336  0
PF02548  PF02569  0.7444399831760025  1
PF02110  PF03070  0.7438262718912906  0
PF09485  PF09707  0.7435397067943653  0
PF06243  PF14535  0.743359545047037   0
PF02302  PF02378  0.7432601800857657  1
PF01420  PF08463  0.7423612591815777  0
PF13699  PF14065  0.7423394771940883  0
PF06833  PF16957  0.7422101000068106  0
PF08770  PF13501  0.7417654252163008  1
PF05658  PF05662  0.7410999026727644  1
PF02702  PF13493  0.7407378919791402  1
PF00309  PF04963  0.7400677554635517  1
PF04964  PF16976  0.7396220680181714  0
PF02445  PF02749  0.7395877330493371  0
PF09481  PF09704  0.7395156587232461  0
PF04984  PF06841  0.739143080266239   0
PF11855  PF13555  0.7388729221302387  0
PF08532  PF08533  0.737725571573581   1
PF06833  PF10620  0.737071240071104   0
PF04011  PF04536  0.7368431439102436  0
PF09481  PF09707  0.7354109849636716  0
PF13409  PF13410  0.7350700630937941  1
PF02332  PF02406  0.7348634577245048  0
PF13400  PF16976  0.7347948135461482  0
PF13087  PF13195  0.734722508262046   1
PF00015  PF01584  0.7345310848088578  1
PF10566  PF14508  0.7335245327950488  1
PF01315  PF13478  0.7334762421666869  1
PF06508  PF14489  0.7308440035041781  1
PF10620  PF16957  0.7302821524923467  0
PF03354  PF05521  0.7295580099408518  0
PF10544  PF13250  0.7291988249047907  1
PF05138  PF14535  0.7286224792684743  0
PF10566  PF14509  0.7279267663108728  1
PF14508  PF14509  0.7279267661808777  1
PF04964  PF07811  0.7273454551268234  0
PF04775  PF08840  0.7271053869824697  1
PF01891  PF13190  0.7269756797549468  1
PF00549  PF08442  0.7269646680000221  1
PF09937  PF13665  0.7264082195783202  0
PF05065  PF05135  0.725377309863355   0
PF00916  PF01740  0.7253257107913139  1
PF01924  PF14720  0.7237392067129162  1
PF13380  PF13607  0.7200218021642143  1
PF01964  PF05690  0.7199597153642934  1
PF03537  PF11997  0.717756845995764   0
PF02446  PF02922  0.7167649671141298  1
PF00374  PF14720  0.7163401346049485  1
PF02397  PF13727  0.7163309272092435  1
PF09660  PF09661  0.7162641403875613  0
PF04263  PF04265  0.7156588530643818  1
PF00393  PF03446  0.7153208995324283  1
PF05896  PF11973  0.7146359475324184  1
PF00317  PF02867  0.7139885261836745  1
PF03135  PF04610  0.7133248207653471  0
PF08352  PF12911  0.7121108319134473  1
PF06841  PF13699  0.7120623523072529  0
PF01637  PF03008  0.711893169734315   1
PF01257  PF10588  0.7118924430149295  1
PF05949  PF06947  0.7115960201008138  0
PF08721  PF08722  0.7112942946036459  1
PF03994  PF13785  0.7111908165663756  0
PF03524  PF04610  0.7102715524571654  1
PF00741  PF05121  0.7101441036103593  1
PF11202  PF12500  0.7097950593756379  1
PF11202  PF15608  0.7097950593749613  1
PF12500  PF15608  0.7097950593719307  1
PF04223  PF06857  0.709564719822774   0
PF00128  PF02922  0.7077573967807925  1
PF03135  PF03524  0.707551682222519   0
PF08463  PF13588  0.7075241090276383  1
PF00563  PF00990  0.7069165333325336  1
PF00871  PF01515  0.7069066241299375  1
PF03135  PF05101  0.7067101792122142  1
PF11202  PF15609  0.7064873389747885  1
PF12500  PF15609  0.7064873389715365  1
PF15608  PF15609  0.7064873389711979  1
PF05402  PF14907  0.7060861832091476  0
PF02601  PF02609  0.7057150676146062  1
PF03787  PF10040  0.7044460424571922  0
PF02283  PF03186  0.7038927655667899  0
PF01136  PF16325  0.7035105781553834  1
PF00570  PF09382  0.7034555400023127  1
PF01890  PF02571  0.7033627991979616  1
PF02727  PF02728  0.7027629237703621  1
PF03239  PF09375  0.7023387888115977  1
PF07040  PF09948  0.702003797048429   0
PF00136  PF03104  0.7019338017428067  1
PF04223  PF08218  0.7013115468641798  0
PF09106  PF12390  0.7012387316441013  0
PF06545  PF11392  0.7003373856192905  0
PF10371  PF17147  0.6998253002249354  1
PF13636  PF17125  0.6987670073174235  1
PF13276  PF13518  0.6985102729767811  1
PF05069  PF06074  0.6976397517198094  0
PF08436  PF13288  0.6973932199685378  1
PF04985  PF06995  0.6972088510175598  0
PF00343  PF02446  0.6970912830095166  0
PF05167  PF13740  0.6970746909445544  0
PF02670  PF08436  0.6966661129206618  1
PF02670  PF13288  0.6966661129205958  1
PF09664  PF11796  0.6966535359137903  1
PF00198  PF02817  0.6961374177617237  1
PF09485  PF09704  0.6958149199867039  0
PF04984  PF14065  0.6955047866668654  0
PF04985  PF05489  0.6954047388211995  0
PF02347  PF08669  0.6946664099425826  1
PF04956  PF05101  0.6930831977920382  0
PF02836  PF02929  0.6930445653697558  1
PF09983  PF13835  0.6929375826147226  0
PF03709  PF03711  0.6928174130001609  1
PF02449  PF08533  0.6924572361990204  1
PF02310  PF02607  0.6918919680465063  1
PF10589  PF13510  0.6913862793304693  1
PF01496  PF01813  0.6905291259154733  0
PF08665  PF08747  0.6902468590600725  0
PF00415  PF13540  0.6897247720155995  1
PF06074  PF07030  0.6896162955308364  0
PF01493  PF04898  0.6894000236413738  1
PF00665  PF01527  0.688744105389054   1
