domA     domB     J_plm       known_interaction
PF13242  PF13344  0.69154     1
PF00309  PF04963  0.69023     1
PF04965  PF05638  0.6879      0
PF00343  PF08323  0.68738     1
PF01625  PF01641  0.68565     1
PF03609  PF03613  0.68526     1
PF09344  PF09485  0.68238     0
PF00374  PF01455  0.67985     1
PF00015  PF01584  0.6792      1
PF00393  PF03446  0.67446     1
PF01729  PF02445  0.67351     0
PF02421  PF07670  0.67241     1
PF08463  PF12161  0.67106     1
PF01814  PF04405  0.67102     1
PF04865  PF10076  0.67003     0
PF02601  PF02609  0.66831     0
PF00317  PF02867  0.66762     1
PF08798  PF09481  0.66627     0
PF01455  PF07503  0.66344     0
PF02922  PF08323  0.66268     1
PF04295  PF08666  0.66248     1
PF02384  PF04313  0.66204     1
PF02665  PF14710  0.6602      1
PF00374  PF01924  0.66013     0
PF00310  PF01493  0.6563      1
PF04085  PF06723  0.65539     1
PF00361  PF00420  0.65509     1
PF08798  PF09485  0.65504     0
PF06832  PF07703  0.65503     1
PF02445  PF02749  0.65335     0
PF00367  PF02378  0.65312     1
PF01315  PF03450  0.65304     1
PF01835  PF11974  0.65266     1
PF02335  PF03264  0.65259     1
PF00224  PF02887  0.65113     1
PF13369  PF13371  0.65079     1
PF01242  PF06508  0.65077     0
PF00496  PF08352  0.64905     1
PF02302  PF02378  0.64803     1
PF00329  PF00346  0.64694     1
PF13241  PF14824  0.64648     1
PF01210  PF07479  0.64567     1
PF02554  PF04328  0.64522     1
PF04328  PF13722  0.64522     1
PF03473  PF03476  0.6446      1
PF00146  PF00346  0.64429     1
PF02609  PF13742  0.64343     0
PF06750  PF07963  0.64146     0
PF02625  PF02738  0.63918     1
PF00116  PF00510  0.6366      1
PF00175  PF00970  0.63637     1
PF03239  PF13473  0.63609     0
PF00198  PF02817  0.63587     1
PF02951  PF02955  0.6352      1
PF02347  PF08669  0.63329     1
PF06968  PF13500  0.63264     0
PF01571  PF08669  0.63131     1
PF00343  PF02922  0.63112     1
PF01315  PF02738  0.631       1
PF02310  PF02607  0.63052     1
PF00902  PF02416  0.62959     1
PF03934  PF08334  0.62913     1
PF01799  PF02625  0.62736     1
PF02110  PF02581  0.62632     1
PF01270  PF03170  0.62626     1
PF13380  PF13607  0.6248      1
PF00146  PF00329  0.62389     1
PF02702  PF13493  0.62358     1
PF09481  PF09485  0.62326     1
PF00343  PF02806  0.62274     1
PF00374  PF01155  0.62236     1
PF00361  PF00662  0.62151     1
PF13276  PF13518  0.6215      1
PF03527  PF05593  0.62124     1
PF01964  PF05690  0.62083     1
PF03239  PF09375  0.62041     0
PF06243  PF14535  0.6195      1
PF04408  PF08482  0.61899     1
PF01597  PF02347  0.61895     1
PF01948  PF02748  0.61782     1
PF05651  PF13556  0.61663     1
PF01170  PF02926  0.61472     1
PF07290  PF15975  0.61461     1
PF02597  PF05690  0.61429     1
PF01799  PF13478  0.61425     1
PF01136  PF12392  0.61402     1
PF00326  PF02897  0.61304     1
PF08541  PF08545  0.61281     1
PF07012  PF10614  0.61208     0
PF01155  PF01455  0.61095     1
PF01402  PF08753  0.60813     1
PF01455  PF01750  0.60647     1
PF08436  PF13288  0.60502     1
PF04223  PF06857  0.60357     1
PF05138  PF14535  0.60356     1
PF05157  PF06750  0.60315     0
PF02738  PF13478  0.60166     1
PF01155  PF01924  0.60153     1
PF02670  PF08436  0.60024     1
PF02670  PF13288  0.60024     1
PF06276  PF11575  0.59812     1
PF11739  PF13617  0.59748     0
PF00207  PF11974  0.59736     1
PF00665  PF01527  0.59691     0
PF08798  PF09707  0.59597     1
PF01113  PF05173  0.59586     1
PF05157  PF07963  0.59584     1
PF00925  PF00926  0.5922      0
PF01450  PF07991  0.59136     1
PF03709  PF03711  0.5897      1
PF00374  PF07503  0.58892     0
PF09344  PF09707  0.58867     1
PF00290  PF00697  0.58695     1
PF00593  PF07715  0.58624     1
PF00591  PF02885  0.58573     1
PF01493  PF04898  0.58539     1
PF01420  PF08463  0.58427     1
PF00358  PF02378  0.58391     1
PF02733  PF03610  0.5833      1
PF01315  PF01799  0.58292     1
PF03626  PF06481  0.58175     1
PF08279  PF13280  0.57989     0
PF04632  PF07869  0.57814     1
PF02629  PF08442  0.57799     1
PF01276  PF03709  0.57788     1
PF00343  PF02446  0.57764     1
PF01243  PF10590  0.57752     1
PF10371  PF17147  0.57724     1
PF00289  PF02785  0.57715     1
PF02617  PF03588  0.57711     0
PF00374  PF01750  0.57697     1
PF02805  PF06029  0.57409     0
PF12805  PF13515  0.57162     1
PF04223  PF08218  0.57132     1
PF00773  PF08206  0.57064     1
PF00027  PF13545  0.5698      1
PF03264  PF03927  0.56924     1
PF01750  PF01924  0.56887     0
PF00239  PF13408  0.56866     1
PF01967  PF06463  0.56756     1
PF02446  PF02922  0.56682     0
PF10589  PF13510  0.56638     1
PF00420  PF00662  0.56632     1
PF00933  PF01915  0.56573     1
PF01835  PF06832  0.56532     1
PF12002  PF16193  0.56194     1
PF01257  PF10588  0.56178     1
PF00128  PF02922  0.56144     1
PF00675  PF05193  0.56122     1
PF02254  PF02386  0.55973     0
PF00676  PF02817  0.55864     1
PF03802  PF08218  0.55844     1
PF02219  PF08267  0.55577     0
PF08402  PF13416  0.55564     1
PF03264  PF03892  0.55398     1
PF01155  PF01750  0.55385     1
PF02508  PF04205  0.55233     1
PF00742  PF03447  0.55061     1
PF04246  PF13375  0.55042     0
PF02261  PF02548  0.54829     0
PF09106  PF12390  0.54731     1
PF03807  PF14748  0.54499     1
PF02504  PF02660  0.54447     0
PF03918  PF16327  0.54418     1
PF03841  PF09106  0.54379     1
PF01571  PF02347  0.54368     1
PF01155  PF07503  0.54327     0
PF01584  PF02895  0.54173     1
PF10417  PF13192  0.54154     1
PF02952  PF07881  0.54153     1
PF00207  PF06832  0.54117     1
PF02452  PF04014  0.54115     1
PF03453  PF03454  0.54099     1
PF16220  PF16344  0.54087     1
PF00359  PF05524  0.5408      1
PF00389  PF02826  0.53986     1
PF11798  PF11799  0.53858     1
PF01844  PF03354  0.53843     0
PF04216  PF09163  0.53842     1
PF03612  PF07663  0.53745     1
PF00745  PF05201  0.53727     1
PF05336  PF06134  0.53681     0
PF03802  PF04223  0.53431     1
PF04166  PF07005  0.53394     0
PF02261  PF02569  0.53288     0
PF00668  PF03621  0.53195     1
PF02952  PF07882  0.53185     1
PF04166  PF17042  0.53168     0
PF09344  PF09704  0.53159     1
PF01624  PF05192  0.53098     1
PF00205  PF02776  0.52832     1
PF04349  PF13632  0.52814     0
PF09485  PF09707  0.52657     0
PF00764  PF14698  0.52332     0
PF00577  PF13953  0.52232     1
PF00677  PF00885  0.52227     0
PF01075  PF13580  0.52221     0
PF03116  PF04205  0.52194     1
PF01128  PF02542  0.52171     1
PF00874  PF03123  0.52113     1
PF01037  PF13404  0.52057     1
PF03379  PF03918  0.51995     1
PF01619  PF14850  0.51968     1
PF10414  PF13241  0.51915     1
PF00391  PF02896  0.51903     1
PF00176  PF04434  0.51785     0
PF03100  PF03918  0.5177      1
PF03608  PF06923  0.51758     1
PF00128  PF02806  0.51737     1
PF00015  PF02895  0.51735     1
PF01155  PF14720  0.5173      1
PF01512  PF10589  0.51704     1
PF03610  PF05524  0.51618     1
PF08798  PF09704  0.51617     1
PF02574  PF02965  0.5159      1
PF01037  PF13412  0.5155      1
PF06082  PF11102  0.51546     1
PF03608  PF07663  0.51484     1
PF03608  PF03612  0.51484     1
PF00677  PF00926  0.51389     0
PF02491  PF14450  0.5128      1
PF00278  PF02784  0.51156     1
PF02574  PF02607  0.51046     1
PF00174  PF01794  0.51032     1
PF01379  PF03900  0.50993     1
PF00908  PF16363  0.5096      0
PF02613  PF13247  0.50897     1
PF09481  PF09707  0.5088      0
PF00885  PF00925  0.50682     0
PF00848  PF00866  0.50635     1
PF00941  PF01799  0.50544     1
PF00817  PF11798  0.50478     1
PF07027  PF11739  0.50445     0
PF01750  PF07503  0.50417     0
PF01433  PF11940  0.50406     1
PF01455  PF14720  0.50369     1
PF02836  PF02929  0.50369     1
PF01288  PF02152  0.5029      1
PF02310  PF02965  0.50231     1
PF03328  PF04223  0.50148     1
PF00218  PF00290  0.50111     1
PF03837  PF12684  0.49969     1
PF16078  PF16870  0.49913     1
PF00941  PF02738  0.49843     1
PF09481  PF09704  0.49808     0
PF00885  PF00926  0.49745     0
PF03783  PF10614  0.4964      1
PF01493  PF01645  0.49474     1
PF00677  PF00925  0.49435     0
PF01315  PF02625  0.49346     1
PF04773  PF16344  0.4925      1
PF13247  PF14711  0.49203     1
PF00263  PF00482  0.49186     1
PF01874  PF03802  0.49147     1
PF01270  PF05420  0.49083     1
PF06923  PF07663  0.49048     1
PF03612  PF06923  0.49048     1
PF04773  PF16220  0.49039     1
PF00310  PF01645  0.49028     1
PF00359  PF00381  0.49014     1
PF03170  PF05420  0.48955     1
PF07717  PF11898  0.48854     1
PF01874  PF08218  0.48844     1
PF03608  PF03829  0.48729     1
PF13476  PF13558  0.48651     1
PF00510  PF03626  0.48638     1
PF00570  PF16124  0.48618     1
PF03773  PF13192  0.48431     0
PF00468  PF01783  0.4835      0
PF04324  PF13806  0.4829      1
PF06827  PF06831  0.48196     1
PF01568  PF04879  0.48135     1
PF04228  PF05872  0.48107     0
PF04958  PF04996  0.4809      1
PF00146  PF00499  0.48061     1
PF00384  PF01568  0.47831     1
PF01527  PF13683  0.47794     1
PF01227  PF02152  0.47669     0
PF02397  PF02706  0.47648     1
PF12320  PF13476  0.47566     1
PF02837  PF02929  0.473       1
PF00196  PF07730  0.4721      1
PF04085  PF04093  0.47188     1
PF03829  PF06923  0.47182     1
PF00782  PF12147  0.4704      1
PF01315  PF13478  0.46923     1
PF00346  PF01058  0.46877     1
PF03738  PF06693  0.46718     1
PF00988  PF02787  0.46681     1
PF03829  PF07663  0.46592     1
PF03612  PF03829  0.46592     1
PF07179  PF14581  0.46592     1
PF02589  PF02754  0.46579     1
PF07027  PF13617  0.4642      1
PF01545  PF16916  0.4622      1
PF00370  PF16901  0.46123     0
PF00665  PF13936  0.46087     1
PF02782  PF16901  0.45942     0
PF01077  PF13241  0.4588      1
PF01924  PF14720  0.45853     0
PF03116  PF13375  0.45755     1
PF00665  PF13518  0.45685     1
PF01855  PF10371  0.45637     1
PF00146  PF00507  0.4559      1
PF10396  PF12631  0.45589     1
PF00374  PF14720  0.45501     1
PF00218  PF00697  0.4549      1
PF00474  PF04341  0.45461     1
PF00475  PF01502  0.45442     1
PF01257  PF01512  0.45439     1
PF00936  PF10662  0.45428     1
PF00444  PF00468  0.45343     0
PF00146  PF01058  0.45265     1
PF13742  PF17191  0.45218     0
PF00549  PF02629  0.45186     1
PF02706  PF13727  0.45172     1
PF02563  PF13807  0.45159     1
PF01326  PF03618  0.45156     0
PF02283  PF02572  0.45064     0
PF04973  PF13521  0.45029     0
PF02441  PF04127  0.44925     1
PF09371  PF12836  0.44902     1
PF01609  PF13808  0.44895     1
PF00809  PF01288  0.44891     1
PF04257  PF13538  0.44884     0
PF03460  PF13241  0.4479      1
PF03610  PF03830  0.44789     1
PF09485  PF09704  0.44745     0
PF12836  PF16921  0.44507     1
PF00345  PF13953  0.44502     1
PF00329  PF00507  0.44502     1
PF02653  PF13407  0.44489     1
PF00128  PF02446  0.44423     0
PF01624  PF05188  0.44405     1
PF05188  PF05192  0.44405     1
PF00329  PF00499  0.44283     1
PF03775  PF05209  0.44237     1
PF00126  PF03466  0.44228     1
PF00346  PF00507  0.44193     1
PF04333  PF05494  0.44074     0
PF01507  PF01583  0.44023     1
PF02754  PF13183  0.43971     1
PF05134  PF12693  0.43952     1
PF02501  PF05134  0.4391      1
PF00183  PF13589  0.43906     1
PF00346  PF00499  0.43904     1
PF06857  PF08218  0.43867     1
PF06580  PF07694  0.43861     1
PF03916  PF13247  0.43837     1
PF13276  PF13683  0.43736     1
PF03710  PF08335  0.4363      1
PF01624  PF05190  0.43548     1
PF05190  PF05192  0.43548     1
PF03328  PF06857  0.43548     1
PF00329  PF01058  0.43538     1
PF02653  PF12399  0.43303     1
PF06733  PF13307  0.43298     1
PF02581  PF05690  0.43277     1
PF04865  PF07484  0.43272     0
PF00975  PF03621  0.43238     1
PF03319  PF10662  0.43217     1
PF02836  PF16353  0.43211     1
PF00899  PF02597  0.43155     1
PF02501  PF12693  0.43127     1
PF02665  PF13247  0.43114     1
PF01791  PF07831  0.43091     1
PF03776  PF05209  0.43047     1
PF00119  PF00306  0.43023     1
PF01515  PF07085  0.42855     1
PF13091  PF13396  0.42821     0
PF01512  PF13375  0.42744     1
PF00475  PF01634  0.42692     1
PF01119  PF08676  0.42577     1
PF00381  PF03610  0.42558     1
PF00703  PF02929  0.42472     1
PF02675  PF03994  0.42448     0
PF05690  PF13667  0.4241      1
PF01149  PF06827  0.42378     1
PF00391  PF01326  0.42367     1
PF00926  PF01872  0.42308     0
PF02446  PF02806  0.42246     0
PF00543  PF00909  0.42143     1
PF01645  PF04898  0.42113     1
PF07503  PF14720  0.42039     0
PF01799  PF03450  0.41991     1
PF02568  PF08349  0.41986     0
PF03738  PF03994  0.41983     1
PF03783  PF07012  0.41921     0
PF03453  PF06463  0.41899     0
PF08402  PF13343  0.41899     0
PF05222  PF12769  0.41895     1
PF01967  PF03453  0.41891     0
PF00330  PF00694  0.41848     1
PF00595  PF11818  0.41799     1
PF04261  PF09375  0.4178      1
PF00213  PF02823  0.417       1
PF03610  PF03613  0.41672     1
PF01502  PF01634  0.41547     1
PF01558  PF10371  0.41524     1
PF00128  PF00343  0.41521     1
PF01580  PF09397  0.415       1
PF02401  PF04551  0.41475     0
PF00925  PF01872  0.41467     0
PF04612  PF11356  0.41436     1
PF02613  PF14710  0.41349     1
PF05188  PF05190  0.41312     1
PF05762  PF07728  0.41278     1
PF02563  PF02706  0.41245     1
PF02589  PF02652  0.41241     0
PF00815  PF01502  0.41232     1
PF03934  PF03958  0.41221     1
PF00977  PF01634  0.41182     1
PF04023  PF07670  0.41088     1
PF00933  PF14310  0.41058     1
PF01081  PF04962  0.41014     0
PF00768  PF07943  0.4097      1
PF00941  PF13478  0.40919     1
PF06277  PF06751  0.40906     0
PF05985  PF06277  0.40832     1
PF01227  PF01288  0.40825     0
PF00475  PF00815  0.40764     1
PF01206  PF02635  0.40686     0
PF01595  PF03471  0.40675     1
PF06082  PF06251  0.4063      1
PF00384  PF04879  0.40591     1
PF00475  PF00977  0.40585     1
PF00359  PF02378  0.40572     1
PF00482  PF01478  0.40549     1
PF00119  PF00231  0.40544     1
PF01182  PF02781  0.40454     0
PF00479  PF01182  0.40454     0
PF02501  PF11356  0.40439     1
PF10414  PF14824  0.40397     1
PF02561  PF07195  0.40369     1
PF07233  PF13036  0.40368     1
PF12800  PF13247  0.40368     1
PF01144  PF02803  0.40263     1
PF00205  PF02775  0.40228     1
PF02465  PF02561  0.40224     1
PF03802  PF06857  0.40221     1
PF02465  PF07195  0.40213     1
PF00231  PF00306  0.40212     1
PF00920  PF01450  0.40156     0
PF01262  PF12769  0.40134     1
PF04408  PF07717  0.40132     1
PF06769  PF07927  0.40089     0
PF00920  PF07991  0.40079     0
PF13276  PF13333  0.40071     1
PF04384  PF07743  0.40032     1
PF00677  PF01872  0.39963     0
PF09704  PF09707  0.39902     1
PF03837  PF14659  0.39852     0
PF02738  PF03450  0.39833     1
PF00941  PF02625  0.39778     1
PF02653  PF13458  0.39767     1
PF00762  PF01208  0.39728     0
PF02837  PF16353  0.39646     1
PF03328  PF08218  0.39615     1
PF00708  PF07503  0.39609     1
PF01379  PF02602  0.39593     1
PF00977  PF01502  0.39513     1
PF02572  PF02654  0.3945      0
PF00158  PF04963  0.39439     0
PF00437  PF00482  0.39419     1
PF00490  PF05201  0.39415     0
PF01081  PF03786  0.39403     0
PF00419  PF02753  0.39395     1
PF03888  PF17188  0.39368     1
PF01257  PF13510  0.39359     1
PF02424  PF03116  0.39327     0
PF00815  PF01634  0.39299     1
PF03934  PF11356  0.39252     1
PF07497  PF07498  0.39174     1
PF01597  PF08669  0.39154     1
PF00128  PF08323  0.39152     1
PF00230  PF02733  0.39148     0
PF02508  PF13375  0.39123     1
PF00815  PF00977  0.391       1
PF03797  PF12951  0.39034     1
PF02355  PF07549  0.38971     1
PF00119  PF02823  0.38955     1
PF01139  PF01885  0.38924     0
PF01232  PF02614  0.38872     0
PF05025  PF13407  0.38833     1
PF00425  PF04715  0.38794     1
PF02604  PF02661  0.38768     0
PF04612  PF12693  0.38725     1
PF02602  PF03900  0.38712     1
PF02541  PF13089  0.38597     1
PF01874  PF03328  0.38589     1
PF02503  PF02541  0.38554     1
PF00119  PF00430  0.38531     1
PF03814  PF13493  0.38428     0
PF01874  PF04223  0.38335     1
PF00268  PF02867  0.38329     1
PF03473  PF03475  0.38328     1
PF03609  PF03610  0.38277     1
PF02446  PF08323  0.38259     0
PF00430  PF02823  0.38236     1
PF00108  PF01144  0.38232     1
PF00501  PF13193  0.38214     1
PF03544  PF07715  0.38197     1
PF02565  PF11967  0.38193     1
PF02781  PF03446  0.38186     0
PF00479  PF03446  0.38186     0
PF02542  PF04551  0.38144     0
PF01242  PF14489  0.38106     0
PF02391  PF06463  0.38039     1
PF04093  PF13464  0.38011     0
PF00128  PF11941  0.37959     1
PF05137  PF05157  0.37939     0
PF00665  PF01695  0.37921     0
PF00218  PF04715  0.3786      1
PF00468  PF01809  0.3782      1
PF02277  PF02572  0.37804     0
PF00290  PF04715  0.3778      1
PF00119  PF00213  0.37717     1
PF03958  PF08334  0.37671     1
PF02501  PF04612  0.37661     1
PF03454  PF06463  0.3763      0
PF01609  PF13817  0.37594     0
PF02525  PF06445  0.37579     0
PF00158  PF04552  0.3755      0
PF01488  PF05201  0.37541     1
PF03331  PF13720  0.37511     0
PF02021  PF13335  0.37452     0
PF04321  PF16363  0.37426     0
PF11356  PF12693  0.37381     1
PF00392  PF07729  0.3737      1
PF02310  PF02574  0.37365     1
PF00213  PF00231  0.37353     1
PF02541  PF13090  0.37333     1
PF05134  PF11356  0.37308     1
PF04295  PF08125  0.37299     0
PF02669  PF13493  0.37243     0
PF13291  PF13328  0.3719      1
PF01964  PF02581  0.37183     1
PF01503  PF01634  0.37103     1
PF01491  PF07743  0.37094     0
PF01144  PF02667  0.37092     1
PF02348  PF08666  0.37067     0
PF02233  PF05222  0.37027     1
PF04216  PF09106  0.36995     0
PF01128  PF04551  0.36951     0
PF00306  PF02823  0.36926     1
PF03934  PF04612  0.36915     1
PF02843  PF02844  0.36914     1
PF00871  PF07085  0.36897     1
PF02753  PF13954  0.36867     1
PF02684  PF13720  0.36792     1
PF04085  PF13464  0.36787     1
PF04221  PF05016  0.36742     1
PF00141  PF01906  0.36734     0
PF00213  PF00430  0.36659     1
PF00231  PF02823  0.3663      1
PF00885  PF01872  0.3659      1
PF00158  PF00309  0.36588     0
PF02508  PF04246  0.36503     0
PF01609  PF13551  0.36491     0
PF00108  PF00725  0.36487     1
PF02501  PF03934  0.36473     1
